x,y_x^3+3,y_x^4+10,y_x^5+1
-15.0,-3372.0,50635.0,-759375.0
-14.5,-3045.625,44215.0625,-640973.40625
-14.0,-2741.0,38426.0,-537824.0
-13.5,-2457.375,33225.0625,-448403.34375
-13.0,-2194.0,28571.0,-371293.0
-12.5,-1950.125,24424.0625,-305175.78125
-12.0,-1725.0,20746.0,-248832.0
-11.5,-1517.875,17500.0625,-201135.71875
-11.0,-1328.0,14651.0,-161051.0
-10.5,-1154.625,12165.0625,-127628.15625
-10.0,-997.0,10010.0,-100000.0
-9.5,-854.375,8155.0625,-77378.09375
-9.0,-726.0,6571.0,-59049.0
-8.5,-611.125,5230.0625,-44370.53125
-8.0,-509.0,4106.0,-32768.0
-7.5,-418.875,3174.0625,-23730.46875
-7.0,-340.0,2411.0,-16807.0
-6.5,-271.625,1795.0625,-11602.90625
-6.0,-213.0,1306.0,-7776.0
-5.5,-163.375,925.0625,-5032.84375
-5.0,-122.0,635.0,-3125.0
-4.5,-88.125,420.0625,-1845.28125
-4.0,-61.0,266.0,-1024.0
-3.5,-39.875,160.0625,-525.21875
-3.0,-24.0,91.0,-243.0
-2.5,-12.625,49.0625,-97.65625
-2.0,-5.0,26.0,-32.0
-1.5,-0.375,15.0625,-7.59375
-1.0,2.0,11.0,-1.0
-0.5,2.875,10.0625,-0.03125
0.0,3.0,10.0,0.0
0.5,3.125,10.0625,0.03125
1.0,4.0,11.0,1.0
1.5,6.375,15.0625,7.59375
2.0,11.0,26.0,32.0
2.5,18.625,49.0625,97.65625
3.0,30.0,91.0,243.0
3.5,45.875,160.0625,525.21875
4.0,67.0,266.0,1024.0
4.5,94.125,420.0625,1845.28125
5.0,128.0,635.0,3125.0
5.5,169.375,925.0625,5032.84375
6.0,219.0,1306.0,7776.0
6.5,277.625,1795.0625,11602.90625
7.0,346.0,2411.0,16807.0
7.5,424.875,3174.0625,23730.46875
8.0,515.0,4106.0,32768.0
8.5,617.125,5230.0625,44370.53125
9.0,732.0,6571.0,59049.0
9.5,860.375,8155.0625,77378.09375
10.0,1003.0,10010.0,100000.0
10.5,1160.625,12165.0625,127628.15625
11.0,1334.0,14651.0,161051.0
11.5,1523.875,17500.0625,201135.71875
12.0,1731.0,20746.0,248832.0
12.5,1956.125,24424.0625,305175.78125
13.0,2200.0,28571.0,371293.0
13.5,2463.375,33225.0625,448403.34375
14.0,2747.0,38426.0,537824.0
14.5,3051.625,44215.0625,640973.40625
15.0,3378.0,50635.0,759375.0
